"Artist and Title","Days","Pk","(x?)","Total","Today"
"AYLIVA & Apache 207 - Wunder","399","36","","1,578,787","236"
"Zivert - Credo","218","63","","1,577,752","585"
"Purple Disco Machine & Sophie and the Giants - Hypnotized","366","27","","1,572,684","0"
"XXXTENTACION & Lil Pump - Arms Around You","155","4","","1,561,501","0"
"Jack Harlow - First Class","151","2","(x16)","1,560,359","0"
"Naps - La kiffance","362","39","","1,559,897","0"
"Olivia Dean - So Easy","216","13","","1,558,899","8,928"
"Manuel Turizo - La Bachata","366","55","","1,557,432","263"
"Bad Bunny & Jhay Cortez - Dakiti","299","22","","1,557,075","0"
"Jul - J'oublie tout","216","92","","1,556,137","1,422"
"Justin Bieber - Mistletoe","275","13","","1,549,690","0"
"OneRepublic - Counting Stars","247","84","","1,548,269","1,705"
"Ninho - Lettre à une femme","196","36","","1,547,707","0"
"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast - Soda Pop","192","3","(x13)","1,544,826","12"
"Ed Sheeran & Elton John - Merry Christmas","195","9","","1,543,938","0"
"Skryptonite - Положение","229","124","","1,541,251","520"
"Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness - Bande organisée","411","31","","1,538,245","108"
"Imagine Dragons - Bad Liar","289","27","","1,536,073","0"
"HammAli & Navai - Прятки","279","65","","1,532,589","203"
"Zivert - Life","415","75","","1,530,663","0"
"Liam Payne & Rita Ora - For You","160","3","(x1)","1,527,176","0"
"Люся Чеботина - СОЛНЦЕ МОНАКО","335","57","","1,526,427","388"
"Pop Smoke - Mood Swings","203","7","","1,515,264","0"
"GAYAZOV$ BROTHER$ - МАЛИНОВАЯ ЛАДА","348","60","","1,508,191","264"
"XOLIDAYBOY - Пожары","696","89","","1,507,919","1,480"
"Jax Jones - Breathe","236","18","","1,507,832","0"
"Miley Cyrus - Prisoner","162","3","(x2)","1,500,389","0"
"The Weeknd - Call Out My Name","128","1","(x3)","1,493,553","31"
