"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Zola - TOUTE LA JOURNÉE","35","8","3","(x1)","2,310,718","33,572,963"
"La Rvfleuze - P.I.B","48","","24","","1,201,038","33,554,505"
"ROSALÍA - BESO","42","1","10","","1,302,806","33,493,382"
"Dynoro - In My Mind","65","8","6","","1,162,472","33,380,596"
"Slimane - Mon amour","46","2","8","","2,152,507","33,372,903"
"DJ Snake - Taki Taki","50","14","3","(x5)","1,503,294","33,298,893"
"Freeze corleone - Freeze Raël","68","1","2","(x1)","3,368,667","33,223,378"
"RAYE - WHERE IS MY HUSBAND!","32","","14","","1,524,405","33,192,352"
"Calvin Harris - One Kiss","60","12","3","(x1)","1,246,483","33,145,213"
"Theodora - PAY!","46","","27","","1,313,369","33,089,336"
"Lomepal - À peu près","45","1","5","","1,926,523","33,079,951"
"Camila Cabello - Bam Bam","43","","12","","1,229,083","33,054,874"
"Wham! - Last Christmas","44","4","4","","2,746,921","32,981,632"
"Genezio - OG","22","10","6","","2,306,750","32,886,732"
"Hozier - Too Sweet","45","","29","","1,176,711","32,802,127"
"Lil Nas X - STAR WALKIN' (League of Legends Worlds Anthem)","38","","14","","1,143,071","32,761,414"
"Zokush - 1 2 3 4","47","","18","","1,034,013","32,715,946"
"Måneskin - THE LONELIEST","51","","12","","1,198,124","32,620,903"
"Grand Corps Malade - Mais je t'aime","63","","22","","987,067","32,524,173"
"Sam Smith - Unholy","34","10","6","","1,442,861","32,446,210"
"Moha K - Vroum Vroum","33","11","2","(x3)","2,278,615","32,358,692"
"WizTheMc - Show Me Love","32","","18","","1,417,248","32,343,668"
"Niska - N.I","52","2","2","(x1)","2,416,540","32,286,349"
"AMK - Malya","32","1","7","","1,931,677","32,082,666"
"Teddy Swims - Bad Dreams","40","","23","","1,136,206","32,034,949"
"Ninho - No love","41","1","9","","1,608,933","32,018,334"
"PNL - Blanka","63","3","3","(x1)","3,691,173","31,957,714"
"Elley Duhé - MIDDLE OF THE NIGHT","50","","17","","1,166,391","31,908,508"
"Niska - Salé","52","15","2","(x4)","1,804,567","31,886,550"
"Imagine Dragons - Enemy","52","5","6","","1,342,553","31,881,875"
"Leto - Mapessa","58","1","9","","1,360,093","31,733,379"
"Lynda - Passe ton chemin","37","","19","","1,384,264","31,571,225"
"No Limit - Millions","61","1","8","","1,657,650","31,563,104"
"Werenoi - Jamal","42","","25","","1,118,160","31,482,083"
"GIMS - Est-ce que tu m'aimes ? - Pilule Bleue","98","8","4","","641,300","31,420,848"
"Ziak - Raspoutine","65","","29","","1,060,554","31,298,399"
"SCH - Mode Akimbo","39","6","3","(x1)","2,949,932","31,215,289"
"Dadju - Bob Marley","60","12","3","(x1)","1,201,023","31,088,973"
"Sia - Gimme Love","32","","15","","1,328,897","30,964,160"
"Post Malone - rockstar","60","15","2","(x2)","1,112,368","30,929,942"
"Beyoncé - TEXAS HOLD 'EM","28","2","6","","2,149,357","30,867,515"
"Koba LaD - Train de vie","65","2","3","(x1)","1,549,168","30,866,788"
"Måneskin - Beggin'","37","10","3","(x1)","2,009,456","30,860,680"
"Camila Cabello - Havana","61","14","2","(x1)","1,011,960","30,848,657"
"GIMS - La même","53","12","3","(x2)","1,251,754","30,829,667"
"Fresh - Chop (Nouvelle École)","18","11","1","(x3)","3,528,966","30,788,467"
"Jul - Un jour, je l'aurai","34","","14","","1,748,075","30,778,258"
"Gazo - BECTE","63","","24","","1,132,310","30,770,425"
"Ninho - Eurostar","40","4","1","(x1)","2,305,280","30,712,875"
"Jul - La miss","45","","19","","972,769","30,699,457"
"Tiakola - 1h55","52","","15","","1,660,763","30,678,612"
"Laylow - SPECIAL","60","1","8","","1,559,260","30,676,138"
"Tiakola - Mode AV","51","","16","","1,166,470","30,607,317"
"Roméo Elvis - Soleil","60","","11","","980,002","30,564,991"
"SDM - Passat","59","","34","","728,768","30,515,961"
"Black Eyed Peas - GIRL LIKE ME","39","7","2","(x2)","1,352,384","30,433,061"
"TKS 2G - Whine","37","","22","","1,265,130","30,399,587"
"SEYSEY - Mia","25","5","6","","2,091,315","30,203,865"
"Doechii - Anxiety","30","4","9","","1,700,978","30,161,458"
"Corneille - Avec classe","32","","28","","1,192,943","30,140,371"
"Kerchak - Saison 2","39","","14","","1,563,996","30,140,286"
"Dua Lipa - Don't Start Now","52","","12","","1,071,697","30,136,681"
"Louane - Secret","46","","13","","1,186,367","30,082,268"
"Ninho - De l'autre côté","68","6","1","(x1)","1,900,586","30,003,275"
"RnBoi - AVEC MOI","15","11","5","","2,989,138","29,948,949"
"Billie Eilish - lovely","80","","82","","536,045","29,847,730"
"Aya Nakamura - Dégaine","31","11","1","(x2)","1,971,712","29,711,188"
"Niska - Méchant","42","7","1","(x1)","3,135,726","29,711,171"
"Pop Smoke - Dior","79","","57","","623,128","29,657,315"
"Meryl - Shatta Confessions","41","","23","","1,157,420","29,591,042"
"Bolémvn - 10K","41","3","7","","1,356,857","29,497,811"
"XXXTENTACION - SAD!","60","4","3","(x1)","1,391,213","29,470,713"
"Jok'air - Bonbon à la menthe","51","","49","","854,393","29,402,478"
"1PLIKÉ140 - CANADA","39","4","4","","1,462,366","29,381,035"
"David Guetta - Baby Don't Hurt Me","40","","11","","1,270,468","29,361,407"
"Dosseh - Habitué","42","11","1","(x5)","1,799,028","29,342,144"
"Topic - Breaking Me","48","","14","","1,179,903","29,316,719"
"Arizona Zervas - ROXANNE","42","2","9","","1,342,751","29,293,289"
"Lomepal - Yeux disent","104","","17","","615,380","29,284,149"
"Master KG - Jerusalema","42","","11","","1,904,198","29,261,513"
"Wejdene - Anissa","33","9","4","","2,052,579","29,239,445"
"Kerchak - Peur","40","3","4","","1,895,797","29,205,709"
"Dadju - Jaloux","39","15","1","(x3)","1,835,185","29,194,226"
"Petit Biscuit - Sunset Lover","86","9","7","","738,958","29,040,322"
"sombr - back to friends","49","","62","","745,042","28,934,384"
"DTF - Me Gusta","79","","49","","775,366","28,915,815"
"Youssoupha - On se connaît","68","","22","","703,411","28,678,694"
"Dadju - Dieu merci","36","10","7","","1,293,084","28,654,038"
"Drake - God's Plan","41","14","1","(x3)","1,356,176","28,641,100"
"Angèle - Oui ou non","32","7","5","","1,544,408","28,425,195"
"GP Explorer - Toute la nuit","23","4","5","","2,372,697","28,391,399"
"Gazo - MOLLY - A COLORS SHOW","38","4","6","","1,657,844","28,347,086"
"Le classico organisé - Cœur de pirate","45","","20","","1,361,822","28,298,640"
"Mister V - Jamais","40","4","4","","2,367,716","28,298,223"
"cassö - Prada","44","","21","","930,408","28,266,105"
"Daddy Yankee - Con Calma","35","4","9","","1,250,934","28,258,203"
"Lil Nas X - THATS WHAT I WANT","48","","26","","863,585","28,222,663"
"Gazo - NO LÈCHE","42","3","4","","2,012,458","28,201,992"
"Alec Benjamin - Let Me Down Slowly","59","","17","","923,519","28,194,532"
"Trevor Daniel - Falling","40","","15","","1,277,792","28,157,449"
"1D1R - Balade","31","","11","","1,696,312","28,129,274"
"Siaka - Los Angeles","28","3","7","","2,148,876","28,122,493"
"Becky G - Arranca","36","","15","","1,163,114","28,116,891"
"Ed Sheeran - Azizam","34","","30","","1,138,405","28,038,777"
"Jaymes Young - Infinity","42","","11","","1,151,471","27,998,162"
"Taylor Swift - Cruel Summer","49","","41","","957,097","27,982,330"
"PLK - Il pleut à Paris","43","","24","","1,269,894","27,933,410"
"Disco Lines - No Broke Boys","37","","32","","1,027,224","27,871,752"
"Ariana Grande - 7 rings","40","9","2","(x3)","1,632,887","27,785,545"
"SDM - TOKA","35","3","5","","2,503,012","27,736,476"
"Travis Scott - Goosebumps - Remix","39","","12","","1,062,893","27,679,352"
"R2 - JAMAIS TOI","31","","18","","1,564,025","27,666,340"
"Tinlicker - Because You Move Me","52","","37","","763,021","27,662,087"
"Amel Bent - 1,2,3","47","3","10","","1,078,890","27,622,739"
"Gazo - NOTRE DAME","26","5","3","(x1)","2,485,778","27,579,753"
"Black Eyed Peas - MAMACITA","32","8","6","","1,503,661","27,487,982"
"Siboy - Mobali","65","4","7","","712,487","27,305,916"
"Maroon 5 - Memories","43","2","10","","1,124,783","27,292,542"
"Damso - Smog","44","8","1","(x1)","3,150,062","27,051,220"
"Djadja & Dinaz - Possédé","46","2","4","","1,812,361","27,039,041"
"Dadju - Mon soleil","37","4","10","","1,323,868","27,031,460"
"Aden Foyer - The Ballet Girl","43","","27","","968,210","26,964,505"
"SCH - Autobahn","45","1","10","","1,407,677","26,960,199"
"marguerite - les filles, les meufs","47","","70","","771,094","26,947,926"
"Beyoncé - CUFF IT","38","","16","","1,184,038","26,928,410"
"KATSEYE - Gabriela","31","","27","","1,141,832","26,856,319"
"GIMS - OHMA TOKITA","32","","15","","1,540,615","26,777,123"
"Gracie Abrams - That’s So True","33","","19","","1,092,369","26,763,293"
"Soolking - CARRÉ OK","29","","20","","1,290,889","26,736,158"
"TKS 2G - Paddle","25","2","8","","1,748,515","26,673,883"
"Jawsh 685 - Savage Love (Laxed - Sired Beat)","39","6","6","","1,646,517","26,621,562"
"Jul - Avant la douane","77","","91","","675,848","26,582,191"
"Imagine Dragons - Demons","129","11","5","","560,130","26,547,359"
"Jeck - Parapluie","30","","22","","1,265,428","26,531,570"
"Twenty One Pilots - Stressed Out","86","13","4","","572,940","26,526,563"
"Gazo - CARTIER","39","1","9","","1,700,316","26,526,488"
"Sexion d'Assaut - Wati by Night","57","","71","","727,101","26,503,791"
"MHD - Afro Trap Part. 11 (King Kong)","28","8","4","","1,917,385","26,482,361"
"PNL - Naha","80","11","1","(x3)","1,432,507","26,443,488"
"RIDSA - Santa Maria","35","","14","","1,134,108","26,431,904"
"Dua Lipa - Levitating","53","","18","","1,029,611","26,327,840"
"Werenoi - Tout seul","49","","16","","1,150,233","26,321,627"
"GIMS - SPA","15","10","4","","2,102,046","26,267,049"
"Rosa Linn - SNAP","40","","15","","1,069,311","26,262,560"
"Jul - Sousou","36","3","3","(x1)","1,535,269","26,154,370"
"Niska - Tuba Life","51","7","2","(x2)","2,185,853","26,107,057"
"Niska - Siliconé","52","1","7","","1,998,213","26,022,952"
"Powfu - death bed","43","","13","","1,159,613","26,013,095"
"Tyla - Water","37","","23","","917,349","25,985,706"
"Freeze corleone - Shavkat","25","8","2","(x1)","2,554,233","25,814,973"
"Justin Bieber - Peaches","33","5","6","","1,512,627","25,811,775"
"WIXO & LA2S - GMK","15","10","4","","2,314,134","25,690,684"
"Ninho - Mamacita","47","13","2","(x5)","1,548,703","25,677,285"
"Sia - Cheap Thrills","86","25","2","(x3)","687,363","25,641,443"
"Orelsan - Rêves bizarres","41","9","1","(x2)","3,161,960","25,606,835"
"Purple Disco Machine - Substitution","36","","22","","1,013,804","25,598,857"
"Eva - Cœur noir","30","13","3","(x1)","1,363,881","25,590,171"
"OBOY - Mélodie","52","","54","","665,046","25,531,305"
"Naps - Vamos","33","1","9","","1,564,178","25,498,669"
"Nono La Grinta - Terrain","38","","50","","861,393","25,408,770"
"Linkin Park - The Emptiness Machine","31","","23","","1,370,549","25,392,841"
"PEDRO SAMPAIO - DANÇARINA","28","","13","","1,252,705","25,356,766"
"DJ Kawest - Mode avion","32","","22","","1,329,140","25,310,938"
"Jul - Mother Fuck","29","10","1","(x2)","2,378,470","25,286,627"
"Major Lazer - Que Calor","46","","16","","1,103,044","25,256,087"
"Soolking - Guerilla","57","","23","","845,839","25,117,427"
"Kavinsky - Nightcall","27","","18","","1,590,223","24,993,371"
"Tayc - N'y pense plus","40","","14","","1,139,320","24,988,382"
"Adele - Easy On Me","30","3","2","(x1)","1,943,291","24,954,199"
"MHD - Bella","36","6","5","","1,472,688","24,944,624"
"Orelsan - L'odeur de l'essence","30","2","1","(x1)","3,817,394","24,933,714"
"Maes - Galactic","29","4","3","(x2)","2,229,819","24,885,908"
"Aime Simone - Shining Light","39","","23","","1,081,443","24,880,965"
"Lacrim - Joie de filles","34","","19","","1,485,751","24,808,541"
"Jul - La street","53","","46","","671,988","24,795,850"
"Djadja & Dinaz - BONKASA","52","","24","","944,727","24,699,677"
"K2S - Dougie","28","","13","","1,686,085","24,651,043"
"Zola - COEUR DE ICE","31","4","1","(x2)","3,354,259","24,632,443"
"Kaaris - Panama","27","2","9","","1,707,508","24,621,744"
"DJ Snake - Paradise","34","","36","","1,054,825","24,619,602"
"Nekfeu - Galatée","73","2","8","","866,581","24,598,097"
"Jul - Superstar","28","3","4","","1,749,633","24,506,111"
"Morad - Se Grita","36","","15","","1,111,362","24,504,674"
"Shay - Sans Coeur","31","1","9","","1,388,922","24,433,120"
"Werenoi - Scarface","51","","72","","691,795","24,424,015"
"Aya Nakamura - La dot","37","5","2","(x1)","1,676,488","24,423,616"
"Gabry Ponte - Thunder","37","","13","","1,071,136","24,415,032"
"Niska - Du lundi au lundi","34","4","6","","2,020,282","24,377,664"
"Eminem - Mockingbird","57","","92","","514,040","24,373,861"
"Reik - A Un Paso De La Luna - Remix","28","1","10","","1,293,243","24,372,678"
"Mike Posner - I Took A Pill In Ibiza - Seeb Remix","84","18","2","(x3)","688,354","24,295,558"
"Dennis Lloyd - Nevermind","42","2","5","","1,003,977","24,279,978"
"Ninho - LES DIAMANTS DE BOKASSA","16","2","4","","2,765,363","24,217,114"
"Jul - Italia","41","3","3","(x1)","2,352,704","24,150,980"
"Damso - BXL ZOO","34","3","3","(x2)","4,118,093","24,117,100"
"Pierre Garnier - Nous on sait","29","","15","","1,632,599","24,105,120"
"Alonzo - TRAFICANTE","34","","12","","1,260,662","24,099,025"
"Pop Smoke - What You Know Bout Love","39","","15","","1,011,942","24,034,053"
"Leto - Train de vie","47","","19","","942,996","24,027,841"
"Coldplay - My Universe","48","","30","","785,542","23,854,908"
"Kungs - Clap Your Hands","36","","22","","1,038,298","23,841,551"
"Libianca - People","36","","30","","925,143","23,814,728"
"Shaboozey - A Bar Song (Tipsy)","40","","62","","816,934","23,793,988"
"DJ Snake - Let Me Love You","64","18","1","(x3)","808,298","23,771,403"
"Green Montana - barcelona92","31","","21","","1,354,558","23,742,560"
"Angèle - Bruxelles je t’aime","31","","12","","1,708,734","23,732,505"
"Major Lazer - Light It Up","90","24","2","(x4)","584,485","23,620,479"
"Jok'air - Nos souvenirs","42","","68","","756,636","23,579,423"
"Josman - Ailleurs","31","","18","","1,076,875","23,577,453"
"Imagine Dragons - Waves","38","","26","","907,811","23,543,527"
"Myles Smith - Stargazing","29","","32","","1,082,507","23,533,595"
"Jul - La faille","35","1","6","","1,480,398","23,526,989"
"Tayc - Room 69","31","6","4","","1,812,480","23,475,031"
"Oliver Tree - Miss You","29","","11","","1,109,247","23,455,771"
"Zola - Wow","44","2","5","","1,749,987","23,450,773"
"Stromae - L’enfer","30","5","2","(x1)","2,255,313","23,379,684"
"Zola - 9 1 1 3","37","4","1","(x1)","2,247,590","23,376,533"
"PNL - J’comprends pas","49","","64","","613,950","23,255,039"
"Ninho - M.I.L.S 2.0","51","3","1","(x1)","1,670,318","23,245,404"
"Chappell Roan - Good Luck, Babe!","40","","54","","829,169","23,216,571"
"BLACKPINK - JUMP","26","","19","","1,355,183","23,182,150"
"French Montana - Unforgettable","45","10","3","(x3)","828,683","23,162,294"
"Kaza - HRTBRK #2","69","","79","","520,990","23,146,265"
"Jul - Tel Me","45","2","2","(x1)","2,271,030","23,130,954"
"Pop Smoke - For The Night","43","","22","","939,737","23,130,177"
"Jul - Alors la zone","30","3","5","","1,723,296","23,038,305"
"GIMS - TU ME RENDS BÊTE","21","1","8","","2,127,126","22,976,251"
"Imagine Dragons - Follow You","40","","31","","808,371","22,961,981"
"Ofenbach - Wasted Love","35","","22","","946,502","22,936,343"
"Joseph Kamel - Celui qui part","33","","32","","973,665","22,917,415"
"Dosseh - L'odeur du charbon","38","","14","","956,747","22,910,267"
"Niska - Medellín","51","4","3","(x2)","1,979,099","22,904,170"
"Nea - Some Say","40","","21","","1,062,652","22,834,338"
"Ed Sheeran - I Don't Care","30","7","7","","1,316,914","22,743,892"
"Gala - Freed from Desire","47","2","5","","1,557,470","22,721,547"
"Drake - Toosie Slide","30","3","5","","1,235,382","22,674,519"
"SDM - Redescends","49","","34","","808,543","22,672,565"
"Doja Cat - Kiss Me More","33","","20","","983,417","22,635,974"
"S.Pri Noir - Juste pour voir","47","","20","","784,183","22,634,644"
"Chily - San Pellegrino","42","","11","","1,131,679","22,597,116"
"L2B - Overbooking","44","","83","","680,374","22,502,899"
"Pierre Garnier - Ceux qu'on était","41","","19","","1,526,669","22,496,496"
"Tayc - D O D O","28","","16","","1,118,832","22,491,931"
"Werenoi - 3 singes","36","1","8","","1,337,891","22,485,176"
"SHAED - Trampoline","36","","20","","941,138","22,474,761"
"Surf Mesa - ily","30","5","6","","1,297,922","22,437,266"
"Lomepal - Tee","41","1","10","","1,623,196","22,406,705"
"Mari Froes - Vaitimbora","26","","20","","1,293,344","22,393,060"
"Ozuna - Del Mar","41","","29","","860,961","22,365,016"
"Djadja & Dinaz - Pas là - Bonus track - édition Aube","35","","14","","1,073,906","22,326,904"
"Linh - Je pense à vous","26","","20","","1,187,922","22,301,244"
"Damso - DEUX TOILES DE MER","36","3","2","(x1)","4,129,342","22,267,069"
"Vianney - Beau-papa","47","","33","","735,662","22,262,529"
"Dadju - Django","50","2","9","","951,879","22,191,057"
"Sia - Snowman","32","2","8","","2,045,835","22,188,082"
"Orelsan - Du propre","34","2","3","(x1)","3,157,494","22,175,364"
"Ninho - Money","52","","16","","2,385,497","22,142,721"
"Yamê - Bécane - A COLORS SHOW","21","3","5","","1,990,915","22,132,656"
"Soso Maness - So Maness","38","","23","","958,871","22,097,548"
"Ava Max - Sweet but Psycho","37","2","10","","1,066,869","22,089,511"
"Serge Ibaka - Champion","36","","13","","1,211,452","22,085,391"
"Hamza - Mi Amor","33","","29","","1,019,704","22,049,155"
"Møme - Aloha","77","10","2","(x2)","634,802","22,028,641"
"JEY BROWNIE - GTB","26","8","7","","1,382,787","22,016,678"
"SCH - Marché noir","30","5","1","(x2)","2,677,061","21,952,703"
"Ninho - Elle a mal","52","","87","","544,467","21,947,955"
"Zed - Joli","46","","69","","641,174","21,820,635"
"Imagine Dragons - Believer","67","1","10","","647,546","21,772,864"
"NAZAKEBLACK - 1,2,3 Soleil","24","2","8","","1,355,667","21,767,065"
"Niska - W.L.G","40","6","3","(x1)","1,514,646","21,755,608"
"Pedro Capó - Calma - Remix","33","","15","","967,094","21,742,877"
"Jok'air - Elles ont trop joué avec mon cœur","32","","12","","973,796","21,698,488"
"Lady Gaga - Abracadabra","29","","23","","1,210,784","21,677,948"
"Clean Bandit - Solo","38","8","4","","1,077,166","21,672,174"
"Mabel - Don't Call Me Up","33","","16","","997,815","21,639,854"
"Kerchak - Calme toi","50","","86","","626,040","21,621,341"
"Black Eyed Peas - RITMO (Bad Boys For Life)","31","","14","","1,145,186","21,541,651"
"Sadek - Madre mia","54","4","6","","921,279","21,536,649"
"Were-vana - Casanova","28","","14","","1,082,002","21,534,791"
"Damiano David - Born With a Broken Heart","27","","23","","1,183,540","21,480,623"
"Calvin Harris - Promises","42","","11","","968,118","21,455,435"
