"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Daft Punk - Give Life Back to Music","13","3","2","(x1)","165,047","714,563"
"Stevie Wonder - Superstition - Single Version","25","","150","","43,394","714,466"
"S.Pri Noir - T'as capté","2","","92","","394,068","714,436"
"Soolking - Y Dor","2","","151","","387,028","714,410"
"Jayel - Ma jolie","2","","156","","370,290","713,787"
"Djadja & Dinaz - Paré","1","","59","","713,564","713,564"
"Landy - Baby ciao","2","","166","","413,131","712,985"
"Zola - LA LUMIÈRE","1","","63","","712,943","712,943"
"Alpha Wann - trapchat","1","","59","","712,923","712,923"
"Orelsan - CP_003_ Toujours perdu quand même","1","","54","","712,664","712,664"
"Kore - Gucci Versace - Extrait de la BO de « En Passant Pécho »","2","","114","","358,997","712,577"
"Kaaris - 2.7 Zéro 10. 17","4","","48","","265,648","712,568"
"PLK - Boost","1","","55","","712,539","712,539"
"Dinos - Rue de Sèvres","1","","54","","712,413","712,413"
"Orelsan - CP_007_ Point de rupture","1","","55","","712,375","712,375"
"Shay - DA","1","","36","","711,691","711,691"
"Bastille - Good Grief","7","","89","","156,894","710,656"
"Sofiane - IDF","2","","29","","489,210","710,603"
"Tayc - Ride (avec Leto)","2","","113","","407,455","710,195"
"Zola - C'est non","1","","67","","709,940","709,940"
"Werenoi - Alpha","1","","81","","709,689","709,689"
"Jul - Range ton égo","1","","64","","709,612","709,612"
"Hamza - BOTTEGA VENETA","1","","78","","709,426","709,426"
"Khalid - OTW","4","","150","","184,912","709,414"
"SDM - Van Damme","2","","86","","432,507","709,294"
"Hornet La Frappe - Ce matin","2","","77","","436,590","709,051"
"Alpha Wann - apdl","1","","60","","708,313","708,313"
"Stromae - avf","19","","11","","64,935","708,061"
"Lorenzo - Ouai mon gars","2","","38","","467,938","707,680"
"Landy - DLV","2","","69","","434,739","707,170"
"SCH - La recette","1","","93","","707,156","707,156"
"KeBlack - Je fais ma vie","2","","129","","357,946","706,583"
"Baby Gang - Mocro Mafia","2","","182","","353,819","706,533"
"Jul - Siège chauffant","1","","67","","706,311","706,311"
"Werenoi - Picasso","1","","85","","706,187","706,187"
"Maes - Méchant","1","","63","","706,144","706,144"
"La Fève - ZAZA PART. 2","1","","81","","704,857","704,857"
"Zola - Les puristes","1","","41","","704,642","704,642"
"100 Blaze - Ouh Hey","2","","145","","363,190","704,491"
"Landy - Demi-frère","2","","173","","407,097","704,205"
"DA Uzi - L’impasse","2","","115","","351,821","703,009"
"Jul - J'suis pas parti","1","","55","","702,914","702,914"
"Michael Jackson - They Don't Care About Us","1","","78","","702,868","702,868"
"Orelsan - CP_010_ On a gagné","1","","56","","702,599","702,599"
"Star Academy - Ne partez pas sans moi","2","","171","","381,369","702,594"
"Heuss L'enfoiré - Bar-Mitzvah","2","","123","","406,576","702,385"
"Jul - Comme un voyou","1","","64","","701,666","701,666"
"Squeezie - Guépard","2","","157","","360,925","700,564"
"Vald - Megadose","4","","73","","238,478","700,227"
"Rémy - La maille","2","","82","","472,970","699,780"
"Tom Odell - Another Love - Zwette Edit","9","","135","","83,815","699,758"
"Werenoi - Moteur brûlant","1","","85","","699,643","699,643"
"S-Crew - 2001","1","","60","","698,971","698,971"
"S.Pri Noir - Baby Gyal","4","","138","","192,564","698,921"
"Moha La Squale - Paris","2","","106","","394,083","698,828"
